permno,adate,qdate,public_date,bm,TICKER
10107,20060630,20070331,20070531,0.131,MSFT
10107,20060630,20070331,20070630,0.131,MSFT
10107,20060630,20070331,20070731,0.131,MSFT
10107,20070630,20070630,20070831,0.112,MSFT
10107,20070630,20070630,20070930,0.112,MSFT
10107,20070630,20070630,20071031,0.112,MSFT
10107,20070630,20070930,20071130,0.117,MSFT
10107,20070630,20070930,20071231,0.117,MSFT
10107,20070630,20070930,20080131,0.117,MSFT
10107,20070630,20071231,20080229,0.104,MSFT
10107,20070630,20071231,20080331,0.104,MSFT
10107,20070630,20071231,20080430,0.104,MSFT
10107,20070630,20080331,20080531,0.142,MSFT
10107,20070630,20080331,20080630,0.142,MSFT
10107,20070630,20080331,20080731,0.142,MSFT
10107,20080630,20080630,20080831,0.144,MSFT
10107,20080630,20080630,20080930,0.144,MSFT
10107,20080630,20080630,20081031,0.144,MSFT
10107,20080630,20080930,20081130,0.140,MSFT
10107,20080630,20080930,20081231,0.140,MSFT
10107,20080630,20080930,20090131,0.140,MSFT
10107,20080630,20081231,20090228,0.200,MSFT
10107,20080630,20081231,20090331,0.200,MSFT
10107,20080630,20081231,20090430,0.200,MSFT
10107,20080630,20090331,20090531,0.226,MSFT
10107,20080630,20090331,20090630,0.226,MSFT
10107,20080630,20090331,20090731,0.226,MSFT
10107,20090630,20090630,20090831,0.187,MSFT
10107,20090630,20090630,20090930,0.187,MSFT
10107,20090630,20090630,20091031,0.187,MSFT
10107,20090630,20090930,20091130,0.181,MSFT
10107,20090630,20090930,20091231,0.181,MSFT
10107,20090630,20090930,20100131,0.181,MSFT
10107,20090630,20091231,20100228,0.166,MSFT
10107,20090630,20091231,20100331,0.166,MSFT
10107,20090630,20091231,20100430,0.166,MSFT
10107,20090630,20100331,20100531,0.181,MSFT
10107,20090630,20100331,20100630,0.181,MSFT
10107,20090630,20100331,20100731,0.181,MSFT
10107,20100630,20100630,20100831,0.233,MSFT
10107,20100630,20100630,20100930,0.233,MSFT
10107,20100630,20100630,20101031,0.233,MSFT
10107,20100630,20100930,20101130,0.226,MSFT
10107,20100630,20100930,20101231,0.226,MSFT
10107,20100630,20100930,20110131,0.226,MSFT
10107,20100630,20101231,20110228,0.210,MSFT
10107,20100630,20101231,20110331,0.210,MSFT
10107,20100630,20101231,20110430,0.210,MSFT
10107,20100630,20110331,20110531,0.255,MSFT
10107,20100630,20110331,20110630,0.255,MSFT
10107,20100630,20110331,20110731,0.255,MSFT
10107,20110630,20110630,20110831,0.269,MSFT
10107,20110630,20110630,20110930,0.269,MSFT
10107,20110630,20110630,20111031,0.269,MSFT
10107,20110630,20110930,20111130,0.289,MSFT
10107,20110630,20110930,20111231,0.289,MSFT
10107,20110630,20110930,20120131,0.289,MSFT
10107,20110630,20111231,20120229,0.300,MSFT
10107,20110630,20111231,20120331,0.300,MSFT
10107,20110630,20111231,20120430,0.300,MSFT
10107,20110630,20120331,20120531,0.259,MSFT
10107,20110630,20120331,20120630,0.259,MSFT
10107,20110630,20120331,20120731,0.259,MSFT
10107,20120630,20120630,20120831,0.266,MSFT
10107,20120630,20120630,20120930,0.266,MSFT
10107,20120630,20120630,20121031,0.266,MSFT
10107,20120630,20120930,20121130,0.283,MSFT
10107,20120630,20120930,20121231,0.283,MSFT
10107,20120630,20120930,20130131,0.283,MSFT
10107,20120630,20121231,20130228,0.335,MSFT
10107,20120630,20121231,20130331,0.335,MSFT
10107,20120630,20121231,20130430,0.335,MSFT
10107,20120630,20130331,20130531,0.331,MSFT
10107,20120630,20130331,20130630,0.331,MSFT
10107,20120630,20130331,20130731,0.331,MSFT
10107,20130630,20130630,20130831,0.280,MSFT
10107,20130630,20130630,20130930,0.280,MSFT
10107,20130630,20130630,20131031,0.280,MSFT
10107,20130630,20130930,20131130,0.302,MSFT
10107,20130630,20130930,20131231,0.302,MSFT
10107,20130630,20130930,20140131,0.302,MSFT
10107,20130630,20131231,20140228,0.282,MSFT
10107,20130630,20131231,20140331,0.282,MSFT
10107,20130630,20131231,20140430,0.282,MSFT
10107,20130630,20140331,20140531,0.265,MSFT
10107,20130630,20140331,20140630,0.265,MSFT
10107,20130630,20140331,20140731,0.265,MSFT
10107,20140630,20140630,20140831,0.269,MSFT
10107,20140630,20140630,20140930,0.269,MSFT
10107,20140630,20140630,20141031,0.269,MSFT
10107,20140630,20140930,20141130,0.243,MSFT
10107,20140630,20140930,20141231,0.243,MSFT
10107,20140630,20140930,20150131,0.243,MSFT
10107,20140630,20141231,20150228,0.248,MSFT
10107,20140630,20141231,20150331,0.248,MSFT
10107,20140630,20141231,20150430,0.248,MSFT
10107,20140630,20150331,20150531,0.282,MSFT
10107,20140630,20150331,20150630,0.282,MSFT
10107,20140630,20150331,20150731,0.282,MSFT
10107,20150630,20150630,20150831,0.234,MSFT
10107,20150630,20150630,20150930,0.234,MSFT
10107,20150630,20150630,20151031,0.234,MSFT
10107,20150630,20150930,20151130,0.225,MSFT
10107,20150630,20150930,20151231,0.225,MSFT
10107,20150630,20150930,20160131,0.225,MSFT
10107,20150630,20151231,20160229,0.180,MSFT
10107,20150630,20151231,20160331,0.180,MSFT
